username,repo_name,stars,repo_url
CyC2018,CS-Notes,156000,https://github.com//CyC2018/CS-Notes
practical-tutorials,project-based-learning,77500,https://github.com//practical-tutorials/project-based-learning
azl397985856,leetcode,49300,https://github.com//azl397985856/leetcode
fffaraz,awesome-cpp,40100,https://github.com//fffaraz/awesome-cpp
x64dbg,x64dbg,39000,https://github.com//x64dbg/x64dbg
youngyangyang04,leetcode-master,31500,https://github.com//youngyangyang04/leetcode-master
carbon-language,carbon-lang,27300,https://github.com//carbon-language/carbon-lang
huihut,interview,25800,https://github.com//huihut/interview
microsoft,calculator,25600,https://github.com//microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,24900,https://github.com//CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,21600,https://github.com//yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,20800,https://github.com//TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,18600,https://github.com//changkun/modern-cpp-tutorial
ethereum,solidity,18200,https://github.com//ethereum/solidity
doocs,leetcode,17300,https://github.com//doocs/leetcode
microsoft,vcpkg,16700,https://github.com//microsoft/vcpkg
gabime,spdlog,15500,https://github.com//gabime/spdlog
catchorg,Catch2,15500,https://github.com//catchorg/Catch2
AnthonyCalandra,modern-cpp-features,14700,https://github.com//AnthonyCalandra/modern-cpp-features
ssloy,tinyrenderer,14600,https://github.com//ssloy/tinyrenderer
